sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1728,0.93571899999999997,-1.2174970000000001,1.5230170000000001,-0.94999699999999998,1.4270320000000001,-0.77012800000000003,0.56193899999999997,0.257436,-0.25830900000000001,0.195826,0,-0.27227099999999999,0.371755,-0.59376099999999998,-3.4792649999999998,2.837021,0.27624900000000002,0.79612700000000003,10.661270999999999,-26.247263,17.014168999999999
1729,0.94090799999999997,-1.222739,1.5268809999999999,-0.94996999999999998,1.4213789999999999,-0.76225500000000002,0.54962,0.26092700000000002,-0.26354499999999997,0.18221200000000001,0.004189,-0.30997000000000002,0.37489699999999998,-0.64088500000000004,3.0815700000000001,-3.470046,-1.3768480000000001,2.5718209999999999,-23.730709999999998,-33.700828000000001,-26.892834000000001
1730,0.94607699999999995,-1.2279279999999999,1.5306660000000001,-0.94984299999999999,1.4155279999999999,-0.75424400000000003,0.53715500000000005,0.257436,-0.25656299999999999,0.18221200000000001,0.0094249999999999994,-0.31101800000000002,0.383274,-0.60946900000000004,0.57100899999999999,4.9507789999999998,-4.837567,0.98188200000000003,-21.875823,-29.828894999999999,29.847175
1731,0.95123100000000005,-1.2330760000000001,1.5343329999999999,-0.94959899999999997,1.4094599999999999,-0.74609300000000001,0.52454299999999998,0.25307299999999999,-0.255691,0.18221200000000001,0.015708,-0.31939499999999998,0.42097299999999999,-0.61156299999999997,-3.574916,2.5540919999999998,1.9232070000000001,0.79937400000000003,-11.812587000000001,22.631422000000001,26.099359
1732,0.95636299999999996,-1.238173,1.5379240000000001,-0.94924399999999998,1.4032070000000001,-0.737784,0.511795,0.25132700000000002,-0.25307299999999999,0.17697599999999999,0.019897000000000001,-0.29845100000000002,0.41364299999999998,-0.62098799999999998,-2.6712370000000001,3.2809720000000002,1.1052550000000001,0.12603200000000001,26.119523999999998,-8.9734219999999993,16.924963999999999
1733,0.96148999999999996,-1.243231,1.541404,-0.948797,1.3967510000000001,-0.72932600000000003,0.49893199999999999,0.25307299999999999,-0.25307299999999999,0.17069300000000001,0.026179999999999998,-0.35081099999999998,0.44505899999999998,-0.626224,-4.3378519999999998,-0.93989199999999995,-4.1371799999999999,1.044449,-24.606192,32.037143,31.469097999999999
1734,0.96659899999999999,-1.248246,1.5447869999999999,-0.948245,1.3900969999999999,-0.72074300000000002,0.48594100000000001,0.25132700000000002,-0.24870900000000001,0.16545699999999999,0.029322000000000001,-0.34766999999999998,0.41992600000000002,-0.65868700000000002,-1.3189090000000001,1.0368059999999999,-1.684164,-0.65928600000000004,-17.677890000000001,-12.46461,2.5634980000000001
1735,0.97169799999999995,-1.253206,1.548074,-0.94761399999999996,1.383224,-0.71201300000000001,0.47280499999999998,0.24870900000000001,-0.24870900000000001,0.16126799999999999,0.032462999999999999,-0.35499999999999998,0.41573700000000002,-0.67439499999999997,-5.3351680000000004,-1.059564,-0.73388699999999996,0.015297,-16.700049,-32.428204000000001,-32.214086999999999
1736,0.97677199999999997,-1.258135,1.551256,-0.94689699999999999,1.37615,-0.70313199999999998,0.45956900000000001,0.25394499999999998,-0.24434600000000001,0.15184400000000001,0.037699000000000003,-0.38118000000000002,0.430398,-0.64716799999999997,-1.031312,0.51285199999999997,-5.8693229999999996,0.24634800000000001,-29.339770999999999,-21.551983,34.932098000000003
1737,0.98182700000000001,-1.2630079999999999,1.554349,-0.94610099999999997,1.368906,-0.69410899999999998,0.446191,0.25307299999999999,-0.24085500000000001,0.14765500000000001,0.041888000000000002,-0.35499999999999998,0.45972000000000002,-0.67125400000000002,-1.4921489999999999,0.56689299999999998,-4.8283360000000002,1.114997,24.260508000000002,14.382754,-11.448848
