sample_idx,tau1_meas,tau1_urdf,err1,tau2_meas,tau2_urdf,err2,tau3_meas,tau3_urdf,err3,tau4_meas,tau4_urdf,err4,tau5_meas,tau5_urdf,err5,tau6_meas,tau6_urdf,err6,tau7_meas,tau7_urdf,err7
941,108.0,1.396058416176184,106.60394158382381,-29.148962,-28.116646039941035,-1.0323159600589662,0.588325,1.2883206187158314,-0.6999956187158314,0.466983,0.6365048231477475,-0.1695218231477475,0.789068,1.5952033151032956,-0.8061353151032956,2.523152,-3.419030831064264,5.9421828310642635,-0.02918,0.25316257016660176,-0.28234257016660175
942,108.0,0.7341718248828991,107.26582817511711,-23.207758,-24.77044839655699,1.5626903965569916,1.488372,1.1640371636784859,0.32433483632151416,-8.255737,-7.913476458336623,-0.3422605416633768,-0.442785,-0.6697766362154345,0.2269916362154345,7.322852,-2.2543135573456388,9.577165557345639,-2.142869,-2.488084198125424,0.3452151981254237
943,108.0,0.9909440920667261,107.00905590793327,-21.755164,-23.342914137470462,1.5877501374704615,1.921836,1.5741844494227177,0.34765155057728236,-8.962846,-8.586680231410716,-0.37616576858928497,-0.6886,-0.8629880141162953,0.17438801411629534,7.128538,-2.2787157780103193,9.407253778010318,-1.476901,-1.9804343618391609,0.5035333618391609
944,108.0,1.1287853887816377,106.87121461121836,-21.793824,-23.3944001298081,1.6005761298081005,2.147131,1.778937625012423,0.368193374987577,-8.886196,-8.503469840278555,-0.38272615972144486,-0.718638,-0.8952805603573085,0.17664256035730852,7.114241,-2.2389804035249834,9.353221403524984,-1.466741,-1.9373540659355069,0.4706130659355068
945,108.0,1.144621954371436,106.85537804562857,-21.906515,-23.51397401519835,1.6074590151983514,2.178506,1.8053613858072393,0.3731446141927608,-8.828036,-8.448182819574647,-0.37985318042535354,-0.765294,-0.9555940935818825,0.1903000935818825,7.26605,-2.1555340107167074,9.421584010716707,-1.306295,-1.89370596803943,0.5874109680394299
946,108.0,1.2512090122531552,106.74879098774684,-21.954637,-23.497607623306187,1.5429706233061857,2.249307,1.9440097713946067,0.3052972286053932,-8.770864,-8.324198203512386,-0.44666579648761306,-0.794817,-0.8804298800650101,0.08561288006501011,7.16454,-2.9438452446202934,10.108385244620294,-1.446086,-1.8554029066585835,0.40931690665858356
947,108.0,1.2666802298783713,106.73331977012162,-21.50512,-23.149775589380976,1.6446555893809744,2.35289,1.9868170186452885,0.36607298135471145,-9.461766,-9.018922455440753,-0.44284354455924735,-0.948628,-1.0882182855426474,0.1395902855426474,7.741629,-2.798771623568296,10.540400623568296,-1.176515,-1.7350342562965408,0.5585192562965409
948,108.0,1.1237346323588009,106.8762653676412,-23.638268,-24.078054757584795,0.4397867575847947,1.1994,1.237130666057183,-0.037730666057183004,-7.264261,-7.00864569618032,-0.25561530381968023,-0.18229,0.07094618773874954,-0.25323618773874956,7.264541,-2.8913531616421584,10.15589416164216,0.397016,-0.5175945444115859,0.914610544411586
949,108.0,1.6019041624017925,106.3980958375982,-22.586557,-22.022000249299637,-0.5645567507003619,1.256868,1.5211240961913206,-0.2642560961913205,-8.505965,-8.419783346557644,-0.08618165344235607,-0.327207,0.3054971619465077,-0.6327041619465077,7.787845,-2.774578014628548,10.562423014628548,0.840328,2.2530098087486277,-1.4126818087486277
950,108.0,1.1386422581985085,106.8613577418015,-23.450305,-24.011111420968927,0.5608064209689267,1.322396,1.2888119914923177,0.03358400850768217,-7.782033,-7.533466865182227,-0.24856613481777323,-0.281621,-0.09962337015244789,-0.18199762984755213,7.853674,-2.70220373574627,10.55587773574627,0.295091,-0.543995956564345,0.839086956564345
951,108.0,1.3777498802549593,106.62225011974505,-28.959604,-27.67554199514424,-1.284062004855759,0.199956,1.0784488506083838,-0.8784928506083838,1.275327,1.4198728336503936,-0.14454583365039353,1.18662,2.1725656332494285,-0.9859456332494285,2.148963,-3.6680037637628433,5.816966763762844,1.136696,0.11691512295138831,1.0197808770486116
